TIER,CITY,STATE,CATEGORY,SEARCH_TERMS,LOCATION_HASHTAGS
1,New York,NY,coffee-carts,"#nycoffeecart #mobilecoffee #nyweddingcoffee #coffeecartnyc","#nycoffeecart #manhattancoffee #nyweddingcoffee"
1,New York,NY,matcha-carts,"#nymatchacart #mobilematcha #matchacartnyc #nyweddingmatcha","#nymatchacart #manhattanmatcha #nyweddingmatcha"
1,New York,NY,cocktail-carts,"#nycocktailcart #mobilebarnyc #nyweddingbar #cocktailcartnyc","#nycocktailcart #manhattanbar #nyweddingcocktails"
1,New York,NY,dessert-carts,"#nydessertcart #mobiledesserts #dessertcartnyc #nyweddingdesserts","#nydessertcart #manhattandesserts #nyweddingsweets"
1,New York,NY,flower-carts,"#nyflowercart #mobileflowers #flowercartnyc #nyweddingflowers","#nyflowercart #manhattanflowers #nyweddingflorals"
1,New York,NY,champagne-carts,"#nychampagnecart #mobilechampagne #champagnecartnyc #nyweddingchampagne","#nychampagnecart #manhattanchampagne #nyweddingbubbly"
1,Los Angeles,CA,coffee-carts,"#lacoffeecart #mobilecoffeela #laweddingcoffee #coffeecartla","#lacoffeecart #losangelescoffee #californiaweddingcoffee"
1,Los Angeles,CA,matcha-carts,"#lamatchacart #mobilematchala #matchacartla #laweddingmatcha","#lamatchacart #losangelesmatcha #californiaweddingmatcha"
1,Los Angeles,CA,cocktail-carts,"#lacocktailcart #mobilebarla #laweddingbar #cocktailcartla","#lacocktailcart #losangelesbar #californiaweddingcocktails"
1,Los Angeles,CA,dessert-carts,"#ladessertcart #mobiledessertsla #dessertcartla #laweddingdesserts","#ladessertcart #losangelesdesserts #californiaweddingsweets"
1,Los Angeles,CA,flower-carts,"#laflowercart #mobileflowersla #flowercartla #laweddingflowers","#laflowercart #losangelesflowers #californiaweddingflorals"
1,Los Angeles,CA,champagne-carts,"#lachampagnecart #mobilechampagnela #champagnecartla #laweddingchampagne","#lachampagnecart #losangeleschampagne #californiaweddingbubbly"
1,Chicago,IL,coffee-carts,"#chicagocoffeecart #mobilecoffeechicago #chicagoweddingcoffee #coffeecartchicago","#chicagocoffeecart #windycitycoffee #illinoisweddingcoffee"
1,Chicago,IL,matcha-carts,"#chicagomatchacart #mobilematchachicago #matchacartchicago #chicagoweddingmatcha","#chicagomatchacart #windycitymatcha #illinoisweddingmatcha"
1,Chicago,IL,cocktail-carts,"#chicagococktailcart #mobilebarchicago #chicagoweddingbar #cocktailcartchicago","#chicagococktailcart #windycitybar #illinoisweddingcocktails"
1,Chicago,IL,dessert-carts,"#chicagodessertcart #mobiledessertschicago #dessertcartchicago #chicagoweddingdesserts","#chicagodessertcart #windycitydesserts #illinoisweddingsweets"
1,Chicago,IL,flower-carts,"#chicagoflowercart #mobileflowerschicago #flowercartchicago #chicagoweddingflowers","#chicagoflowercart #windycityflowers #illinoisweddingflorals"
1,Chicago,IL,champagne-carts,"#chicagochampagnecart #mobilechampagnechicago #champagnecartchicago #chicagoweddingchampagne","#chicagochampagnecart #windycitychampagne #illinoisweddingbubbly"
1,Miami,FL,coffee-carts,"#miamicoffeecart #mobilecoffeemiami #miamiweddingcoffee #coffeecartmiami","#miamicoffeecart #southfloridacoffee #floridaweddingcoffee"
1,Miami,FL,matcha-carts,"#miamimatchacart #mobilematchamiami #matchacartmiami #miamiweddingmatcha","#miamimatchacart #southfloridamatcha #floridaweddingmatcha"
1,Miami,FL,cocktail-carts,"#miamicocktailcart #mobilebarmiami #miamiweddingbar #cocktailcartmiami","#miamicocktailcart #southfloridabar #floridaweddingcocktails"
1,Miami,FL,dessert-carts,"#miamidessertcart #mobiledessertsmiami #dessertcartmiami #miamiweddingdesserts","#miamidessertcart #southfloridadesserts #floridaweddingsweets"
