TIER,CITY,STATE,CATEGORY,SEARCH_TERMS,LOCATION_HASHTAGS
1,"New York",NY,wedding-photographers,"#newyorkweddingphotographer #newyorkweddings #nywedding #weddingphotographersnewyork","#newyorkwedding #nywedding #newyorkweddingphotographer"
1,"New York",NY,wedding-planners,"#newyorkweddingplanner #newyorkweddingcoordinator #nyweddingplanner #weddingplannersnewyork","#newyorkweddingplanner #nyweddingplanning #newyorkweddings"
1,"New York",NY,wedding-venues,"#newyorkweddingvenue #newyorkweddingvenues #nyweddingvenue #weddingvenuesnewyork","#newyorkweddingvenue #nyweddingvenues #newyorkweddings"
1,"New York",NY,coffee-carts,"#newyorkcoffeecart #mobilecoffee #newyorkweddingcoffee #coffeecartnewyork","#newyorkcoffeecart #nycoffee #newyorkweddingcoffee"
1,"New York",NY,matcha-carts,"#newyorkmatchacart #mobilematcha #newyorkweddingmatcha #matchacartnewyork","#newyorkmatchacart #nymatcha #newyorkweddingmatcha"
1,"New York",NY,cocktail-carts,"#newyorkcocktailcart #mobilecocktail #newyorkweddingcocktail #cocktailcartnewyork","#newyorkcocktailcart #nycocktail #newyorkweddingcocktail"
1,"New York",NY,dessert-carts,"#newyorkdessertcart #mobiledessert #newyorkweddingdessert #dessertcartnewyork","#newyorkdessertcart #nydessert #newyorkweddingdessert"
1,"New York",NY,flower-carts,"#newyorkflowercart #mobileflower #newyorkweddingflower #flowercartnewyork","#newyorkflowercart #nyflower #newyorkweddingflower"
1,"New York",NY,champagne-carts,"#newyorkchampagnecart #mobilechampagne #newyorkweddingchampagne #champagnecartnewyork","#newyorkchampagnecart #nychampagne #newyorkweddingchampagne"
1,"Los Angeles",CA,wedding-photographers,"#losangelesweddingphotographer #losangelesweddings #cawedding #weddingphotographerslosangeles","#losangeleswedding #cawedding #losangelesweddingphotographer"
1,"Los Angeles",CA,wedding-planners,"#losangelesweddingplanner #losangelesweddingcoordinator #caweddingplanner #weddingplannerslosangeles","#losangelesweddingplanner #caweddingplanning #losangelesweddings"
1,"Los Angeles",CA,wedding-venues,"#losangelesweddingvenue #losangelesweddingvenues #caweddingvenue #weddingvenueslosangeles","#losangelesweddingvenue #caweddingvenues #losangelesweddings"
1,"Los Angeles",CA,coffee-carts,"#losangelescoffeecart #mobilecoffee #losangelesweddingcoffee #coffeecartlosangeles","#losangelescoffeecart #cacoffee #losangelesweddingcoffee"
1,"Los Angeles",CA,matcha-carts,"#losangelesmatchacart #mobilematcha #losangelesweddingmatcha #matchacartlosangeles","#losangelesmatchacart #camatcha #losangelesweddingmatcha"
1,"Los Angeles",CA,cocktail-carts,"#losangelescocktailcart #mobilecocktail #losangelesweddingcocktail #cocktailcartlosangeles","#losangelescocktailcart #cacocktail #losangelesweddingcocktail"
1,"Los Angeles",CA,dessert-carts,"#losangelesdessertcart #mobiledessert #losangelesweddingdessert #dessertcartlosangeles","#losangelesdessertcart #cadessert #losangelesweddingdessert"
1,"Los Angeles",CA,flower-carts,"#losangelesflowercart #mobileflower #losangelesweddingflower #flowercartlosangeles","#losangelesflowercart #caflower #losangelesweddingflower"
1,"Los Angeles",CA,champagne-carts,"#losangeleschampagnecart #mobilechampagne #losangelesweddingchampagne #champagnecartlosangeles","#losangeleschampagnecart #cachampagne #losangelesweddingchampagne"
1,"Chicago",IL,wedding-photographers,"#chicagoweddingphotographer #chicagoweddings #ilwedding #weddingphotographerschicago","#chicagowedding #ilwedding #chicagoweddingphotographer"
1,"Chicago",IL,wedding-planners,"#chicagoweddingplanner #chicagoweddingcoordinator #ilweddingplanner #weddingplannerschicago","#chicagoweddingplanner #ilweddingplanning #chicagoweddings"
1,"Chicago",IL,wedding-venues,"#chicagoweddingvenue #chicagoweddingvenues #ilweddingvenue #weddingvenueschicago","#chicagoweddingvenue #ilweddingvenues #chicagoweddings"
1,"Chicago",IL,coffee-carts,"#chicagocoffeecart #mobilecoffee #chicagoweddingcoffee #coffeecartchicago","#chicagocoffeecart #ilcoffee #chicagoweddingcoffee"
1,"Chicago",IL,matcha-carts,"#chicagomatchacart #mobilematcha #chicagoweddingmatcha #matchacartchicago","#chicagomatchacart #ilmatcha #chicagoweddingmatcha"
1,"Chicago",IL,cocktail-carts,"#chicagococktailcart #mobilecocktail #chicagoweddingcocktail #cocktailcartchicago","#chicagococktailcart #ilcocktail #chicagoweddingcocktail"
1,"Chicago",IL,dessert-carts,"#chicagodessertcart #mobiledessert #chicagoweddingdessert #dessertcartchicago","#chicagodessertcart #ildessert #chicagoweddingdessert"
1,"Chicago",IL,flower-carts,"#chicagoflowercart #mobileflower #chicagoweddingflower #flowercartchicago","#chicagoflowercart #ilflower #chicagoweddingflower"
1,"Chicago",IL,champagne-carts,"#chicagochampagnecart #mobilechampagne #chicagoweddingchampagne #champagnecartchicago","#chicagochampagnecart #ilchampagne #chicagoweddingchampagne"
1,"Dallas",TX,wedding-photographers,"#dallasweddingphotographer #dallasweddings #txwedding #weddingphotographersdallas","#dallaswedding #txwedding #dallasweddingphotographer"
1,"Dallas",TX,wedding-planners,"#dallasweddingplanner #dallasweddingcoordinator #txweddingplanner #weddingplannersdallas","#dallasweddingplanner #txweddingplanning #dallasweddings"
1,"Dallas",TX,wedding-venues,"#dallasweddingvenue #dallasweddingvenues #txweddingvenue #weddingvenuesdallas","#dallasweddingvenue #txweddingvenues #dallasweddings"
1,"Dallas",TX,coffee-carts,"#dallascoffeecart #mobilecoffee #dallasweddingcoffee #coffeecartdallas","#dallascoffeecart #txcoffee #dallasweddingcoffee"
1,"Dallas",TX,matcha-carts,"#dallasmatchacart #mobilematcha #dallasweddingmatcha #matchacartdallas","#dallasmatchacart #txmatcha #dallasweddingmatcha"
1,"Dallas",TX,cocktail-carts,"#dallascocktailcart #mobilecocktail #dallasweddingcocktail #cocktailcartdallas","#dallascocktailcart #txcocktail #dallasweddingcocktail"
1,"Dallas",TX,dessert-carts,"#dallasdessertcart #mobiledessert #dallasweddingdessert #dessertcartdallas","#dallasdessertcart #txdessert #dallasweddingdessert"
1,"Dallas",TX,flower-carts,"#dallasflowercart #mobileflower #dallasweddingflower #flowercartdallas","#dallasflowercart #txflower #dallasweddingflower"
1,"Dallas",TX,champagne-carts,"#dallaschampagnecart #mobilechampagne #dallasweddingchampagne #champagnecartdallas","#dallaschampagnecart #txchampagne #dallasweddingchampagne"
1,"Houston",TX,wedding-photographers,"#houstonweddingphotographer #houstonweddings #txwedding #weddingphotographershouston","#houstonwedding #txwedding #houstonweddingphotographer"
1,"Houston",TX,wedding-planners,"#houstonweddingplanner #houstonweddingcoordinator #txweddingplanner #weddingplannershouston","#houstonweddingplanner #txweddingplanning #houstonweddings"
1,"Houston",TX,wedding-venues,"#houstonweddingvenue #houstonweddingvenues #txweddingvenue #weddingvenueshouston","#houstonweddingvenue #txweddingvenues #houstonweddings"
1,"Houston",TX,coffee-carts,"#houstoncoffeecart #mobilecoffee #houstonweddingcoffee #coffeecarthouston","#houstoncoffeecart #txcoffee #houstonweddingcoffee"
1,"Houston",TX,matcha-carts,"#houstonmatchacart #mobilematcha #houstonweddingmatcha #matchacarthouston","#houstonmatchacart #txmatcha #houstonweddingmatcha"
1,"Houston",TX,cocktail-carts,"#houstoncocktailcart #mobilecocktail #houstonweddingcocktail #cocktailcarthouston","#houstoncocktailcart #txcocktail #houstonweddingcocktail"
1,"Houston",TX,dessert-carts,"#houstondessertcart #mobiledessert #houstonweddingdessert #dessertcarthouston","#houstondessertcart #txdessert #houstonweddingdessert"
1,"Houston",TX,flower-carts,"#houstonflowercart #mobileflower #houstonweddingflower #flowercarthouston","#houstonflowercart #txflower #houstonweddingflower"
1,"Houston",TX,champagne-carts,"#houstonchampagnecart #mobilechampagne #houstonweddingchampagne #champagnecarthouston","#houstonchampagnecart #txchampagne #houstonweddingchampagne"
1,"Washington",DC,wedding-photographers,"#washingtonweddingphotographer #washingtonweddings #dcwedding #weddingphotographerswashington","#washingtonwedding #dcwedding #washingtonweddingphotographer"
1,"Washington",DC,wedding-planners,"#washingtonweddingplanner #washingtonweddingcoordinator #dcweddingplanner #weddingplannerswashington","#washingtonweddingplanner #dcweddingplanning #washingtonweddings"
1,"Washington",DC,wedding-venues,"#washingtonweddingvenue #washingtonweddingvenues #dcweddingvenue #weddingvenueswashington","#washingtonweddingvenue #dcweddingvenues #washingtonweddings"
1,"Washington",DC,coffee-carts,"#washingtoncoffeecart #mobilecoffee #washingtonweddingcoffee #coffeecartwashington","#washingtoncoffeecart #dccoffee #washingtonweddingcoffee"
1,"Washington",DC,matcha-carts,"#washingtonmatchacart #mobilematcha #washingtonweddingmatcha #matchacartwashington","#washingtonmatchacart #dcmatcha #washingtonweddingmatcha"
1,"Washington",DC,cocktail-carts,"#washingtoncocktailcart #mobilecocktail #washingtonweddingcocktail #cocktailcartwashington","#washingtoncocktailcart #dccocktail #washingtonweddingcocktail"
1,"Washington",DC,dessert-carts,"#washingtondessertcart #mobiledessert #washingtonweddingdessert #dessertcartwashington","#washingtondessertcart #dcdessert #washingtonweddingdessert"
1,"Washington",DC,flower-carts,"#washingtonflowercart #mobileflower #washingtonweddingflower #flowercartwashington","#washingtonflowercart #dcflower #washingtonweddingflower"
1,"Washington",DC,champagne-carts,"#washingtonchampagnecart #mobilechampagne #washingtonweddingchampagne #champagnecartwashington","#washingtonchampagnecart #dcchampagne #washingtonweddingchampagne"
1,"Miami",FL,wedding-photographers,"#miamiweddingphotographer #miamiweddings #flwedding #weddingphotographersmiami","#miamiwedding #flwedding #miamiweddingphotographer"
