TIER,CITY,STATE,CATEGORY,SEARCH_TERMS,LOCATION_HASHTAGS
1,New York,NY,wedding-photographers,"#nycweddingphotographer #manhattanweddings #nywedding","#nycwedding #manhattanweddings #nyweddingphotographer"
1,Los Angeles,CA,wedding-photographers,"#laweddingphotographer #californiawedding #losangelesweddings","#lawedding #californiawedding #losangelesweddings"
1,Chicago,IL,wedding-photographers,"#chicagoweddingphotographer #illinoiswedding #chicagoweddings","#chicagowedding #illinoiswedding #windycityweddings"
1,Miami,FL,wedding-photographers,"#miamiweddingphotographer #floridawedding #miamiweddings","#miamiwedding #floridawedding #southfloridaweddings"
1,Dallas,TX,wedding-photographers,"#dallasweddingphotographer #texaswedding #dallasweddings","#dallaswedding #texaswedding #dfwweddings"
1,Seattle,WA,wedding-photographers,"#seattleweddingphotographer #washingtonwedding #seattleweddings","#seattlewedding #pnwwedding #washingtonweddings"
1,Boston,MA,wedding-photographers,"#bostonweddingphotographer #massachusettswedding #bostonweddings","#bostonwedding #newenglandwedding #massachusettsweddings"
1,Atlanta,GA,wedding-photographers,"#atlantaweddingphotographer #georgiawedding #atlantaweddings","#atlantawedding #georgiawedding #southernwedding"
2,Austin,TX,wedding-photographers,"#austinweddingphotographer #austinweddings #centraltexaswedding","#austinwedding #atxwedding #texaswedding"
2,Denver,CO,wedding-photographers,"#denverweddingphotographer #coloradowedding #denverweddings","#denverwedding #coloradowedding #rockymountainweddings"
2,Nashville,TN,wedding-photographers,"#nashvilleweddingphotographer #tennesseewedding #nashvilleweddings","#nashvillewedding #musicitywedding #tennesseeweddings"
2,Portland,OR,wedding-photographers,"#portlandweddingphotographer #oregonwedding #portlandweddings","#portlandwedding #oregonwedding #pnwwedding"
2,San Diego,CA,wedding-photographers,"#sandiegoweddingphotographer #sandiegoweddings #socal wedding","#sandiegowedding #socalwedding #californiawedding"
2,Phoenix,AZ,wedding-photographers,"#phoenixweddingphotographer #arizonawedding #phoenixweddings","#phoenixwedding #arizonawedding #desertwedding"
2,Minneapolis,MN,wedding-photographers,"#minneapolisweddingphotographer #minnesotawedding #twincitisweddings","#minneapoliswedding #minnesotawedding #twincitisweddings"
2,Charlotte,NC,wedding-photographers,"#charlotteweddingphotographer #northcarolinawedding #charlotteweddings","#charlottewedding #ncwedding #carolinaweddings"
1,New York,NY,wedding-planners,"#nycweddingplanner #manhattanweddingplanner #nyweddingcoordinator","#nycweddingplanner #manhattanweddings #nyweddingplanning"
1,Los Angeles,CA,wedding-planners,"#laweddingplanner #californiaweddingplanner #losangelesweddingplanner","#laweddingplanner #californiaweddingplanning #losangelesweddings"
1,Chicago,IL,wedding-planners,"#chicagoweddingplanner #illinoisweddingplanner #chicagoweddingcoordinator","#chicagoweddingplanner #illinoisweddingplanning #windycityweddings"
1,Miami,FL,wedding-planners,"#miamiweddingplanner #floridaweddingplanner #miamiweddingcoordinator","#miamiweddingplanner #floridaweddingplanning #southfloridaweddings"
1,Dallas,TX,wedding-planners,"#dallasweddingplanner #texasweddingplanner #dallasweddingcoordinator","#dallasweddingplanner #texasweddingplanning #dfwweddings"
2,Austin,TX,wedding-planners,"#austinweddingplanner #austinweddingcoordinator #centraltexasweddingplanner","#austinweddingplanner #atxweddingplanning #texasweddingplanning"
2,Denver,CO,wedding-planners,"#denverweddingplanner #coloradoweddingplanner #denverweddingcoordinator","#denverweddingplanner #coloradoweddingplanning #rockymountainweddings"
2,Nashville,TN,wedding-planners,"#nashvilleweddingplanner #tennesseeweddingplanner #nashvilleweddingcoordinator","#nashvilleweddingplanner #musicityweddingplanning #tennesseeweddings"
1,New York,NY,wedding-venues,"#nycweddingvenue #manhattanweddingvenue #nyweddingvenues","#nycweddingvenue #manhattanweddings #nyweddingvenues"
1,Los Angeles,CA,wedding-venues,"#laweddingvenue #californiaweddingvenue #losangelesweddingvenues","#laweddingvenue #californiaweddingvenues #losangelesweddings"
1,Chicago,IL,wedding-venues,"#chicagoweddingvenue #illinoisweddingvenue #chicagoweddingvenues","#chicagoweddingvenue #illinoisweddingvenues #windycityweddings"
1,Miami,FL,wedding-venues,"#miamiweddingvenue #floridaweddingvenue #miamiweddingvenues","#miamiweddingvenue #floridaweddingvenues #southfloridaweddings"
2,Austin,TX,wedding-venues,"#austinweddingvenue #austinweddingvenues #centraltexasweddingvenue","#austinweddingvenue #atxweddingvenues #texasweddingvenues"
2,Denver,CO,wedding-venues,"#denverweddingvenue #coloradoweddingvenue #denverweddingvenues","#denverweddingvenue #coloradoweddingvenues #rockymountainweddings"
3,Richmond,VA,wedding-photographers,"#richmondweddingphotographer #virginiawedding #richmondweddings","#richmondwedding #virginiawedding #rvawedding"
3,Kansas City,MO,wedding-photographers,"#kansascityweddingphotographer #missouriwedding #kcweddings","#kansascitywedding #kcwedding #missouriweddings"
3,Salt Lake City,UT,wedding-photographers,"#saltlakecityweddingphotographer #utahwedding #slcweddings","#slcwedding #utahwedding #saltlakecityweddings"
3,Sacramento,CA,wedding-photographers,"#sacramentoweddingphotographer #norcalwedding #sacramentoweddings","#sacramentowedding #norcalwedding #californiawedding"
